label,count,id,mouser,url,description
J1,1,825437-6,571-825437-6,https://componentsearchengine.com/part-view/825437-6/TE%20Connectivity,Jumper for FTDI cable
LED1,1,C503B-RCN-CW0Z0AA2,941-C503BRCNCW0Z0AA2,https://componentsearchengine.com/part-view/C503B-RCN-CW0Z0AA2/Cree%2C%20Inc.,LED
C1,1,K105Z20Y5VF5TL2,594-K105Z20Y5VF5TL2,https://componentsearchengine.com/part-view/K105Z20Y5VF5TL2/Vishay,1 uF; radial termination; 50V rating; -20% +80% tolerance; -30 - +85 C
R1,1,CFR-25JR-52-10K,603-CFR-25JR-5210K,https://componentsearchengine.com/part-view/CFR-25JR-52-10K/YAGEO%20(PHYCOMP),10 kOhm; axial termination; 250V rating; 5% tolerance; 250mW power rating; -55 - +155 C
R2,1,CFS1/4C331J,660-CFS1/4C331J,https://componentsearchengine.com/part-view/CFS1%2F4C331J/KOA%20Speer,330 Ohm; axial termination; 250V rating; 5% tolerance; 250mW power rating; -55 - +155 C
S1,1,PTS645SL502LFS,611-PTS645SL502,https://componentsearchengine.com/part-view/PTS645SL502LFS/C%20%26%20K%20COMPONENTS,Switch; Non-illuminated; Through-hole; Off - (On); 50mA current rating; 12V voltage rating; SPST
